City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
249,kulgam,33.65,75.0167,8.0,48,7,0.74,IN,1698627026
250,bandon,51.7469,-8.7425,8.77,93,100,1.44,IE,1698627027
251,qianjiang,30.4151,112.8859,22.08,59,0,2.27,CN,1698627027
252,uturoa,-16.7333,-151.4333,26.49,78,2,6.0,PF,1698627027
253,ambositra,-20.5167,47.25,15.66,86,9,1.1,MG,1698627028
254,zhenlai,45.8495,123.2973,6.85,17,0,7.25,CN,1698627029
255,antsiranana,-12.2787,49.2917,24.42,77,99,6.99,MG,1698626882
256,reggane,26.7158,0.1714,29.29,15,46,3.18,DZ,1698627029
257,bealanana,-14.55,48.7333,16.79,96,62,1.43,MG,1698627029
258,crane,31.3974,-102.3501,3.12,78,100,9.01,US,1698627030
259,amga,60.8953,131.9608,-8.09,88,100,2.03,RU,1698627030
260,mili,6.0815,171.735,28.49,78,32,5.99,MH,1698627030
261,san julian,21.0167,-102.1667,19.57,44,9,1.25,MX,1698626778
262,ciudad lazaro cardenas,17.9583,-102.2,27.09,82,53,2.4,MX,1698627032
263,ad dawadimi,24.5077,44.3924,21.64,49,100,3.27,SA,1698627032
264,portland,45.5234,-122.6762,13.32,46,20,5.14,US,1698626844
265,broken hill,-31.95,141.4333,24.52,19,57,2.32,AU,1698627033
266,daru,-9.0763,143.2092,26.29,82,100,7.6,PG,1698627033
267,roanoke rapids,36.4615,-77.6542,21.49,100,0,0.0,US,1698627034
268,nenjiang,49.1833,125.2167,3.9,36,3,8.12,CN,1698627034
269,ust'-ordynskiy,52.805,104.7508,-8.15,58,100,2.89,RU,1698627035
270,guozhen,34.3659,107.359,18.67,58,2,1.3,CN,1698627036
271,gebeit,21.0667,36.3167,23.31,82,0,2.74,SD,1698627036
272,polyarnyy,69.1989,33.4478,-6.41,93,100,2.96,RU,1698627036
273,raduzhnyy,62.0961,77.475,-12.17,97,74,0.18,RU,1698627037
274,betul,21.9153,77.8961,17.2,61,100,1.58,IN,1698627037
275,dul'durga,50.6761,113.5931,-6.5,39,100,0.96,RU,1698627038
276,salalah,17.0151,54.0924,25.05,83,0,2.06,OM,1698627038
277,caucete,-31.6518,-68.2811,25.52,8,24,1.19,AR,1698627039
278,ialysos,36.4104,28.1655,23.29,83,0,1.34,GR,1698627039
279,loma de cabrera,19.4333,-71.6,24.09,91,78,1.19,DO,1698627040
280,ksar chellala,35.2122,2.3189,18.45,28,59,3.93,DZ,1698627040
281,chavusy,53.8075,30.9712,3.73,93,100,6.47,BY,1698627040
282,arkhangel'sk,64.5401,40.5433,-4.37,81,68,2.34,RU,1698627041
283,zaporizhia,47.8167,35.1833,10.93,71,13,2.22,UA,1698627042
284,utrik,11.2278,169.8474,28.0,80,36,9.19,MH,1698627042
285,egilsstadir,65.2653,-14.3948,-0.05,100,40,2.06,IS,1698627042
286,tralee,52.2704,-9.7026,8.66,94,98,2.01,IE,1698627042
287,santa ana,33.7456,-117.8678,25.96,13,0,5.66,US,1698626988
288,susuman,62.7833,148.1667,-13.16,92,89,0.72,RU,1698627043
289,kirensk,57.7853,108.1119,-3.91,51,100,3.58,RU,1698626774
290,mawlamyinegyunn,16.3833,95.2667,25.62,89,100,1.93,MM,1698627043
291,poronaysk,49.2167,143.1167,4.64,54,0,0.39,RU,1698627043
292,riyadh,24.6877,46.7219,24.08,33,100,2.47,SA,1698626824
293,bedele,8.456,36.353,13.26,99,100,0.23,ET,1698627043
294,buala,-8.145,159.5921,29.76,70,98,2.57,SB,1698627043
295,korla,41.7597,86.1469,9.91,44,100,1.38,CN,1698627043
296,winnemucca,40.973,-117.7357,8.03,17,0,3.6,US,1698626842
297,gaspe,48.8334,-64.4819,1.12,60,20,3.09,CA,1698627044
298,mount isa,-20.7333,139.5,34.87,31,100,6.17,AU,1698627044
299,whittlesea,-32.1759,26.8244,4.38,85,51,6.24,ZA,1698627044
300,shingu,33.7333,135.9833,18.8,50,0,0.64,JP,1698627044
301,belmonte,-15.8631,-38.8828,24.19,74,23,4.57,BR,1698627045
302,nar'yan-mar,67.6713,53.087,-8.83,86,100,5.81,RU,1698627045
303,sosnogorsk,63.6023,53.8817,-5.81,85,100,4.47,RU,1698627045
304,rongelap,11.1635,166.8941,28.74,74,13,8.1,MH,1698627045
305,jersey village,29.8877,-95.563,21.05,81,100,4.63,US,1698627009
306,puerto baquerizo moreno,-0.9,-89.6,23.27,79,100,5.1,EC,1698627008
307,brokopondo,4.75,-55.1667,28.37,70,87,5.08,SR,1698627045
308,zarechnyy,53.2036,45.1923,3.74,93,100,7.15,RU,1698627046
